dataset,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
ShapesAll,0.795,0.8116666666666666,0.81,0.7983333333333333,0.7966666666666666,0.7983333333333333,0.795,0.815,0.7833333333333333,0.7983333333333333
SmallKitchenAppliances,0.6133333333333333,0.6293333333333333,0.608,0.6346666666666667,0.64,0.648,0.6133333333333333,0.6213333333333333,0.616,0.592
SonyAIBORobotSurface1,0.9101497504159732,0.8668885191347754,0.8652246256239601,0.9068219633943428,0.8635607321131448,0.8835274542429284,0.8352745424292846,0.8785357737104825,0.8469217970049917,0.8818635607321131
SonyAIBORobotSurface2,0.8478488982161595,0.844700944386149,0.8363064008394544,0.844700944386149,0.8331584470094439,0.838405036726128,0.8436516264428122,0.8415529905561385,0.8373557187827911,0.8331584470094439
StarLightCurves,0.9598105876639144,0.9618746964545896,0.9622389509470616,0.9601748421563866,0.9615104419621175,0.958960660514813,0.961024769305488,0.9594463331714423,0.960660514813016,0.9622389509470616
Strawberry,0.9486486486486486,0.9432432432432432,0.9351351351351352,0.954054054054054,0.9567567567567568,0.954054054054054,0.9351351351351352,0.954054054054054,0.954054054054054,0.9513513513513514
SwedishLeaf,0.9168,0.9264,0.9296,0.9264,0.9184,0.9184,0.9248,0.92,0.9216,0.92
Symbols,0.970854271356784,0.9698492462311558,0.970854271356784,0.9738693467336684,0.9728643216080402,0.9678391959798996,0.964824120603015,0.963819095477387,0.9698492462311558,0.9688442211055276
SyntheticControl,0.9833333333333332,0.9866666666666668,0.98,0.9833333333333332,0.98,0.98,0.98,0.9866666666666668,0.98,0.99
ToeSegmentation1,0.8903508771929824,0.8640350877192983,0.8464912280701754,0.8596491228070176,0.8640350877192983,0.8859649122807017,0.8947368421052632,0.8464912280701754,0.8859649122807017,0.9035087719298246
ToeSegmentation2,0.9,0.9,0.9307692307692308,0.9230769230769232,0.8923076923076924,0.9230769230769232,0.9153846153846154,0.9076923076923076,0.8846153846153846,0.9230769230769232
Trace,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0
